Worker Code,Zone Code,Assignment Date
W50001,Z1523,2025-04-01
W50001,Z1523,2025-04-02
W50001,Z1523,2025-04-03
W50001,Z1523,2025-04-04
W50001,Z1523,2025-04-05
W50002,Z1523,2025-04-01
W50002,Z1523,2025-04-02
W50002,Z1523,2025-04-03
W50002,Z1523,2025-04-04
W50002,Z1523,2025-04-05
W50003,Z1523,2025-04-01
W50003,Z1523,2025-04-02
W50003,Z1523,2025-04-03
W50003,Z1523,2025-04-04
W50003,Z1523,2025-04-05
W50004,Z1523,2025-04-01
W50004,Z1523,2025-04-02
W50004,Z1523,2025-04-03
W50004,Z1523,2025-04-04
W50004,Z1523,2025-04-05
W50005,Z1523,2025-04-01
W50005,Z1523,2025-04-02
W50005,Z1523,2025-04-03
W50005,Z1523,2025-04-04
W50005,Z1523,2025-04-05
W50006,Z1523,2025-04-01
W50006,Z1523,2025-04-02
W50006,Z1523,2025-04-03
W50006,Z1523,2025-04-04
W50006,Z1523,2025-04-05
W50007,Z1523,2025-04-01
W50007,Z1523,2025-04-02
W50007,Z1523,2025-04-03
W50007,Z1523,2025-04-04
W50007,Z1523,2025-04-05
W50008,Z1523,2025-04-01
W50008,Z1523,2025-04-02
W50008,Z1523,2025-04-03
W50008,Z1523,2025-04-04
W50008,Z1523,2025-04-05
W50009,Z1523,2025-04-01
W50009,Z1523,2025-04-02
W50009,Z1523,2025-04-03
W50009,Z1523,2025-04-04
W50009,Z1523,2025-04-05
W50010,Z1523,2025-04-01
W50010,Z1523,2025-04-02
W50010,Z1523,2025-04-03
W50010,Z1523,2025-04-04
W50010,Z1523,2025-04-05
W50011,Z1523,2025-04-01
W50011,Z1523,2025-04-02
W50011,Z1523,2025-04-03
W50011,Z1523,2025-04-04
W50011,Z1523,2025-04-05
W50012,Z1523,2025-04-01
W50012,Z1523,2025-04-02
W50012,Z1523,2025-04-03
W50012,Z1523,2025-04-04
W50012,Z1523,2025-04-05
W50013,Z1523,2025-04-01
W50013,Z1523,2025-04-02
W50013,Z1523,2025-04-03
W50013,Z1523,2025-04-04
W50013,Z1523,2025-04-05
W50014,Z1523,2025-04-01
W50014,Z1523,2025-04-02
W50014,Z1523,2025-04-03
W50014,Z1523,2025-04-04
W50014,Z1523,2025-04-05
W50015,Z1523,2025-04-01
W50015,Z1523,2025-04-02
W50015,Z1523,2025-04-03
W50015,Z1523,2025-04-04
W50015,Z1523,2025-04-05
W50016,Z1523,2025-04-01
W50016,Z1523,2025-04-02
W50016,Z1523,2025-04-03
W50016,Z1523,2025-04-04
W50016,Z1523,2025-04-05
W50017,Z1523,2025-04-01
W50017,Z1523,2025-04-02
W50017,Z1523,2025-04-03
W50017,Z1523,2025-04-04
W50017,Z1523,2025-04-05
W50018,Z1523,2025-04-01
W50018,Z1523,2025-04-02
W50018,Z1523,2025-04-03
W50018,Z1523,2025-04-04
W50018,Z1523,2025-04-05
W50019,Z1523,2025-04-01
W50019,Z1523,2025-04-02
W50019,Z1523,2025-04-03
W50019,Z1523,2025-04-04
W50019,Z1523,2025-04-05
W50020,Z1523,2025-04-01
W50020,Z1523,2025-04-02
W50020,Z1523,2025-04-03
W50020,Z1523,2025-04-04
W50020,Z1523,2025-04-05
W50021,Z1523,2025-04-01
W50021,Z1523,2025-04-02
W50021,Z1523,2025-04-03
W50021,Z1523,2025-04-04
W50021,Z1523,2025-04-05
W50022,Z1523,2025-04-01
W50022,Z1523,2025-04-02
W50022,Z1523,2025-04-03
W50022,Z1523,2025-04-04
W50022,Z1523,2025-04-05
W50023,Z1523,2025-04-01
W50023,Z1523,2025-04-02
W50023,Z1523,2025-04-03
W50023,Z1523,2025-04-04
W50023,Z1523,2025-04-05
W50024,Z1523,2025-04-01
W50024,Z1523,2025-04-02
W50024,Z1523,2025-04-03
W50024,Z1523,2025-04-04
W50024,Z1523,2025-04-05
W50025,Z1523,2025-04-01
W50025,Z1523,2025-04-02
W50025,Z1523,2025-04-03
W50025,Z1523,2025-04-04
W50025,Z1523,2025-04-05
W50026,Z1523,2025-04-01
W50026,Z1523,2025-04-02
W50026,Z1523,2025-04-03
W50026,Z1523,2025-04-04
W50026,Z1523,2025-04-05
W50027,Z1523,2025-04-01
W50027,Z1523,2025-04-02
W50027,Z1523,2025-04-03
W50027,Z1523,2025-04-04
W50027,Z1523,2025-04-05
W50028,Z1523,2025-04-01
W50028,Z1523,2025-04-02
W50028,Z1523,2025-04-03
W50028,Z1523,2025-04-04
W50028,Z1523,2025-04-05
W50029,Z1523,2025-04-01
W50029,Z1523,2025-04-02
W50029,Z1523,2025-04-03
W50029,Z1523,2025-04-04
W50029,Z1523,2025-04-05
W50030,Z1523,2025-04-01
W50030,Z1523,2025-04-02
W50030,Z1523,2025-04-03
W50030,Z1523,2025-04-04
W50030,Z1523,2025-04-05
W50031,Z1523,2025-04-01
W50031,Z1523,2025-04-02
W50031,Z1523,2025-04-03
W50031,Z1523,2025-04-04
W50031,Z1523,2025-04-05
W50032,Z1523,2025-04-01
W50032,Z1523,2025-04-02
W50032,Z1523,2025-04-03
W50032,Z1523,2025-04-04
W50032,Z1523,2025-04-05
W50033,Z1523,2025-04-01
W50033,Z1523,2025-04-02
W50033,Z1523,2025-04-03
W50033,Z1523,2025-04-04
W50033,Z1523,2025-04-05
W50034,Z1523,2025-04-01
W50034,Z1523,2025-04-02
W50034,Z1523,2025-04-03
W50034,Z1523,2025-04-04
W50034,Z1523,2025-04-05
W50035,Z1523,2025-04-01
W50035,Z1523,2025-04-02
W50035,Z1523,2025-04-03
